,N,trial_length
../DATA/processed/002post_trial28.csv,9,5.492
../DATA/processed/003pre_trial51.csv,4,5.494
../DATA/processed/015post_trial20.csv,8,5.498
../DATA/processed/026pre_trial47.csv,11,5.496
../DATA/processed/025post_trial40.csv,5,5.49
../DATA/processed/024pre_trial45.csv,14,5.5
../DATA/processed/005pre_trial18.csv,8,5.488
../DATA/processed/025post_trial33.csv,10,5.5
../DATA/processed/001post_trial9.csv,4,5.494
../DATA/processed/006post_trial3.csv,8,5.5
../DATA/processed/002pre_trial3.csv,6,5.494
../DATA/processed/025post_trial12.csv,6,5.494
../DATA/processed/015pre_trial53.csv,3,5.496
../DATA/processed/007post_trial26.csv,5,5.49
../DATA/processed/005post_trial57.csv,15,5.488
../DATA/processed/013post_trial16.csv,4,5.488
../DATA/processed/009post_trial21.csv,3,5.492
../DATA/processed/024post_trial8.csv,8,5.5
../DATA/processed/022pre_trial34.csv,17,5.5
../DATA/processed/026post_trial34.csv,3,5.498
../DATA/processed/025pre_trial35.csv,21,5.5
../DATA/processed/012post_trial43.csv,5,5.49
../DATA/processed/023post_trial58.csv,9,5.492
../DATA/processed/001pre_trial16.csv,5,5.498
../DATA/processed/022post_trial49.csv,6,5.5
../DATA/processed/019pre_trial32.csv,10,5.49
../DATA/processed/013post_trial37.csv,5,5.498
../DATA/processed/002pre_trial53.csv,5,5.488
../DATA/processed/021pre_trial53.csv,7,5.496
../DATA/processed/001post_trial38.csv,3,5.5
../DATA/processed/012post_trial30.csv,9,5.498
../DATA/processed/005post_trial25.csv,13,5.494
../DATA/processed/021post_trial35.csv,7,5.49
../DATA/processed/019pre_trial37.csv,22,5.502
../DATA/processed/009pre_trial1.csv,2,5.49
../DATA/processed/004pre_trial14.csv,0,5.492
../DATA/processed/002pre_trial21.csv,8,5.498
../DATA/processed/026post_trial14.csv,6,5.488
../DATA/processed/021pre_trial5.csv,7,5.498
../DATA/processed/020pre_trial35.csv,6,5.496
../DATA/processed/019post_trial27.csv,10,5.5
../DATA/processed/023post_trial28.csv,8,5.5
../DATA/processed/002post_trial12.csv,7,5.486
../DATA/processed/006pre_trial50.csv,7,5.498
../DATA/processed/022post_trial47.csv,18,5.496
../DATA/processed/009post_trial52.csv,4,5.488
../DATA/processed/005post_trial7.csv,14,5.5
../DATA/processed/025post_trial37.csv,10,5.496
../DATA/processed/017post_trial15.csv,6,5.488
../DATA/processed/016post_trial53.csv,3,5.494
../DATA/processed/006pre_trial8.csv,11,5.492
../DATA/processed/021pre_trial31.csv,5,5.498
../DATA/processed/005post_trial15.csv,11,5.488
../DATA/processed/012post_trial15.csv,6,5.486
../DATA/processed/017post_trial16.csv,5,5.498
../DATA/processed/006pre_trial31.csv,3,5.492
../DATA/processed/023pre_trial49.csv,8,5.486
../DATA/processed/002pre_trial39.csv,6,5.502
../DATA/processed/002pre_trial56.csv,7,5.498
../DATA/processed/005pre_trial24.csv,16,5.498
../DATA/processed/003post_trial25.csv,1,5.494
../DATA/processed/003pre_trial8.csv,2,5.496
../DATA/processed/013pre_trial37.csv,6,5.49
../DATA/processed/007pre_trial9.csv,10,5.494
../DATA/processed/005pre_trial50.csv,7,5.496
../DATA/processed/026pre_trial9.csv,4,5.492
../DATA/processed/016post_trial15.csv,3,5.494
../DATA/processed/016pre_trial49.csv,6,5.498
../DATA/processed/006post_trial22.csv,7,5.49
../DATA/processed/015post_trial37.csv,7,5.494
../DATA/processed/014post_trial43.csv,5,5.496
../DATA/processed/003post_trial34.csv,1,5.488
../DATA/processed/001post_trial57.csv,5,5.494
../DATA/processed/019pre_trial8.csv,3,5.49
../DATA/processed/004pre_trial23.csv,7,5.494
../DATA/processed/006pre_trial19.csv,5,5.498
../DATA/processed/024pre_trial48.csv,15,5.5
../DATA/processed/013post_trial12.csv,4,5.5
../DATA/processed/003post_trial27.csv,3,5.492
../DATA/processed/017pre_trial20.csv,3,5.496
../DATA/processed/007pre_trial6.csv,5,5.49
../DATA/processed/008pre_trial40.csv,13,5.49
../DATA/processed/024pre_trial12.csv,8,5.488
../DATA/processed/001pre_trial6.csv,9,5.49
../DATA/processed/015post_trial46.csv,12,5.496
../DATA/processed/013pre_trial49.csv,3,5.49
